Soient \(E\) et \(F\) des ensembles. Quand dit-on que \(F\) est inclus dans \(E\) ?;On dit que \(F\) est inclus dans \(E\) ou que \(F\) est une partie de \(E\) si : \(\forall x \in F, \quad x \in E\) (ou \(x \in F \rightarrow x \in E\)). On note \(F \subset E\).
Comment note-t-on l'ensemble des parties de \(E\) ?;L'ensemble des parties de \(E\) est noté \(\mathcal{P}(E)\).
Qu'est-ce que la réunion de \(A\) et \(B\) ?;C'est l'ensemble des éléments de \(E\) appartenant à \(A\) ou à \(B\) : \(A \cup B = \{x \in E / x \in A \text{ ou } x \in B\}\).
Qu'est-ce que l'intersection de \(A\) et \(B\) ?;C'est l'ensemble des éléments de \(E\) appartenant à \(A\) et à \(B\) : \(A \cap B = \{x \in E / x \in A \text{ et } x \in B\}\).
Quelles sont les propriétés élémentaires de la réunion et de l'intersection pour une partie \(A\) de \(E\) ?;\(A \cup A = A\), \(A \cup E = E\), \(A \cup \emptyset = A\), \(A \cap A = A\), \(A \cap E = A\), \(A \cap \emptyset = \emptyset\).
Quelles sont les propriétés de distributivité de \(\cap\) sur \(\cup\) et de \(\cup\) sur \(\cap\) ?;\(A \cap (B \cup C) = (A \cap B) \cup (A \cap C)\) et \(A \cup (B \cap C) = (A \cup B) \cap (A \cup C)\).
Qu'est-ce que la différence de \(A\) par \(B\) ?;C'est l'ensemble des éléments \(x\) de \(E\) appartenant à \(A\) mais pas à \(B\) : \(A \setminus B = \{x \in E / x \in A \text{ et } x \notin B\}\).
Qu'est-ce que le complémentaire de \(A\) dans \(E\) ?;C'est l'ensemble des éléments \(x\) de \(E\) n'appartenant pas à \(A\) ; autrement dit, c'est \(E \setminus A\). On le note \(\overline{A}\) ou \(A^c\) : \(\overline{A} = \{x \in E / x \notin A\}\).
Quelles sont les propriétés du complémentaire et les lois de De Morgan ?;\(\overline{\emptyset} = E\), \(A \cup \overline{A} = E\), \(\overline{A \cup B} = \overline{A} \cap \overline{B}\), \(\overline{E} = \emptyset\), \(A \cap \overline{A} = \emptyset\), \(\overline{A \cap B} = \overline{A} \cup \overline{B}\).
Quand dit-on que deux parties \(A\) et \(B\) d'un ensemble \(E\) sont disjointes ?;On dit que \(A\) et \(B\) sont disjointes si \(A \cap B = \emptyset\), ie si \(A\) et \(B\) n'ont aucun élément en commun.
Soit \((A_i)_{i \in I}\) des parties d'un ensemble \(E\). Quand dit-on que les \(A_i\) forment un recouvrement disjoint de \(E\) ?;On dit que les \(A_i\) forment un recouvrement disjoint de \(E\) si les \(A_i\) sont deux à deux disjoints, et si \(\bigcup_{i \in I} A_i = E\).
Soit \((A_i)_{i \in I}\) des parties d'un ensemble \(E\). Quand dit-on que les \(A_i\) forment une partition de \(E\) ?;On dit que les \(A_i\) forment une partition de \(E\) si les \(A_i\) sont deux à deux disjoints, si \(\bigcup_{i \in I} A_i = E\), et si les \(A_i\) sont tous non vides.
Soient \(E\) et \(F\) des ensembles. Qu'appelle-t-on produit cartésien de \(E\) et \(F\) ?;On appelle produit cartésien de \(E\) et \(F\) l'ensemble des couples d'un élément de \(E\) et d'un élément de \(F\) : \(E \times F = \{(x, y) / x \in E, y \in F\}\).
Qu'appelle-t-on application (ou fonction) ?;On appelle application (ou fonction) la donnée de trois choses : un ensemble de départ \(E\) non vide, un ensemble d'arrivée \(F\) non vide, et pour tout \(x \in E\), la donnée d'un unique élément \(f(x)\) de \(F\) associé.
Soient \(E, F, G\) des ensembles, et des applications \(E \xrightarrow{f} F\) et \(F \xrightarrow{g} G\). Qu'appelle-t-on composée de \(f\) par \(g\) ?;On appelle composée de \(f\) par \(g\) l'application notée \(g \circ f\) définie par : \(g \circ f : E \longrightarrow G\), \(x \longmapsto g(f(x))\).
Soient \(E, F, G, H\) des ensembles et \(f : E \rightarrow F\), \(g : F \rightarrow G\), \(h : G \rightarrow H\). Quelle est la propriété d'associativité de la composition ?;\(h \circ (g \circ f) = (h \circ g) \circ f\). On peut donc écrire \(h \circ g \circ f\).
Soit \(f : E \rightarrow F\). Quelles sont les propriétés de composition avec l'identité ?;\(f \circ id_E = f\) et \(id_F \circ f = f\).
Soit \(f : E \rightarrow F\) et \(A\) une partie de \(E\). Qu'appelle-t-on restriction de \(f\) à \(A\) ?;On appelle restriction de \(f\) à \(A\) l'application \(f|_A\) définie par : \(f|_A : A \longrightarrow F\) et \(\forall x \in A, f|_A(x) = f(x)\).
Soit \(A\) une partie de \(E\) et \(f : A \rightarrow F\). Qu'est-ce qu'un prolongement de \(f\) à \(E\) ?;Un prolongement de \(f\) à \(E\) est une application \(\tilde{f} : E \rightarrow F\) qui vérifie : \(\forall x \in A, \tilde{f}(x) = f(x)\).
Soit \(f : E \rightarrow F\) et \(A\) une partie de \(E\). Qu'appelle-t-on image directe de \(A\) par \(f\) ?;On appelle image directe de \(A\) par \(f\), et on note \(f(A)\), l'ensemble des images des éléments de \(A\) : \(f(A) = \{f(x) / x \in A\}\). C'est une partie de \(F\).
Soit \(f : E \rightarrow F\) et \(B\) une partie de \(F\). Qu'appelle-t-on image réciproque de \(B\) par \(f\) ?;On appelle image réciproque de \(B\) par \(f\), et on note \(f^{\leftarrow}(B)\), l'ensemble des antécédents des éléments de \(B\) : \(f^{\leftarrow}(B) = \{x \in E / f(x) \in B\}\). C'est une partie de \(E\).
Quand dit-on que \(f : E \rightarrow F\) est injective ?;On dit que \(f : E \rightarrow F\) est injective si tout élément \(y\) de \(F\) possède au plus un antécédent par \(f\). Autrement dit : \(f\) injective \(\iff \forall (x, x') \in E^2, x \neq x' \implies f(x) \neq f(x')\) \(\iff \forall (x, x') \in E^2, f(x) = f(x') \implies x = x'\).
Quand dit-on que \(f : E \rightarrow F\) est surjective ?;On dit que \(f : E \rightarrow F\) est surjective si tout élément \(y\) de \(F\) possède au moins un antécédent par \(f\). Autrement dit : \(f\) surjective \(\iff \forall y \in F, \exists x \in E, y = f(x)\).
Quand dit-on que \(f : E \rightarrow F\) est bijective ?;On dit que \(f : E \rightarrow F\) est bijective si elle est injective et surjective, c'est-à-dire si pour tout \(y \in F\), \(y\) possède exactement un antécédent par \(f\). Autrement dit : \(f\) bijective \(\iff \forall y \in F, \exists! x \in E, y = f(x)\).
Soit \(f\) une application bijective de \(E\) dans \(F\). Qu'appelle-t-on l'application réciproque de \(f\) ?;L'application qui à tout \(y \in F\), associe son unique antécédent par \(f\), s'appelle l'application réciproque de \(f\). On la note \(f^{-1}\). On a : \(\forall (x, y) \in E \times F, y = f(x) \iff f^{-1}(y) = x\). \(f^{-1} : F \longrightarrow E\).
Quelle est une bonne méthode pour montrer qu'une fonction est bijective et trouver sa réciproque ?;Pour montrer qu'une fonction est bijective et trouver la réciproque, une bonne méthode est de résoudre, pour tout \(y \in F\), l'équation \(f(x) = y\) d'inconnue \(x \in E\). Si pour tout \(y \in F\), on trouve une unique solution, alors \(f\) est bijective, et l'unique solution obtenue en fonction de \(y\) est \(f^{-1}(y)\).
Soit \(f : E \rightarrow F\). Quelle est la caractérisation des fonctions bijectives ?;\(f\) est bijective si et seulement s'il existe une application \(g : F \rightarrow E\) telle que \(g \circ f = id_E\) et \(f \circ g = id_F\). Si c'est le cas, une telle application \(g\) est unique, c'est \(f^{-1}\).
Soient \(f : E \rightarrow F\) et \(g : F \rightarrow G\) bijectives. Que peut-on dire de \(g \circ f\) ?;Si \(f\) et \(g\) sont bijectives, alors la fonction \(g \circ f : E \rightarrow G\) est bijective, et sa réciproque est : \((g \circ f)^{-1} = f^{-1} \circ g^{-1}\).
Soient \(f : E \rightarrow F\) et \(g : F \rightarrow G\) injectives. Que peut-on dire de \(g \circ f\) ?;Si \(f\) et \(g\) sont injectives, alors \(g \circ f\) est injective.
Soient \(f : E \rightarrow F\) et \(g : F \rightarrow G\) surjectives. Que peut-on dire de \(g \circ f\) ?;Si \(f\) et \(g\) sont surjectives, alors \(g \circ f\) est surjective.
Soit \(E\) un ensemble et \(A\) une partie de \(E\). Qu'est-ce que la fonction indicatrice de \(A\) ?;La fonction indicatrice de \(A\) (ou fonction caractéristique de \(A\)) est la fonction de \(E\) dans \(\{0, 1\}\) notée \(\mathbb{1}_A\) et définie par : \(\mathbb{1}_A(x) = 1\) si \(x \in A\), \(\mathbb{1}_A(x) = 0\) sinon. Ainsi, \(x \in A \Longleftrightarrow \mathbb{1}_A(x) = 1\) et \(x \notin A \Longleftrightarrow \mathbb{1}_A(x) = 0\).
